role,icd_code,icd_version_inferred,chapter,diagnosis,patients
principal,I69992,ICD-10,Diseases of the circulatory system,Facial weakness following unspecified cerebrovascular disease,1
principal,I70221,ICD-10,Diseases of the circulatory system,"Atherosclerosis of native arteries of extremities with rest pain, right leg",1
principal,I70245,ICD-10,Diseases of the circulatory system,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,1
principal,I7101,ICD-10,Diseases of the circulatory system,Dissection of thoracic aorta,1
principal,I7102,ICD-10,Diseases of the circulatory system,Dissection of abdominal aorta,1
principal,I712,ICD-10,Diseases of the circulatory system,"Thoracic aortic aneurysm, without rupture",1
principal,I713,ICD-10,Diseases of the circulatory system,"Abdominal aortic aneurysm, ruptured",1
principal,I715,ICD-10,Diseases of the circulatory system,"Thoracoabdominal aortic aneurysm, ruptured",1
principal,I716,ICD-10,Diseases of the circulatory system,"Thoracoabdominal aortic aneurysm, without rupture",1
principal,I724,ICD-10,Diseases of the circulatory system,Aneurysm of artery of lower extremity,1
principal,I725,ICD-10,Diseases of the circulatory system,Aneurysm of other precerebral arteries,1
principal,I7300,ICD-10,Diseases of the circulatory system,Raynaud's syndrome without gangrene,1
principal,I7789,ICD-10,Diseases of the circulatory system,Other specified disorders of arteries and arterioles,1
principal,I82412,ICD-10,Diseases of the circulatory system,Acute embolism and thrombosis of left femoral vein,1
principal,I82421,ICD-10,Diseases of the circulatory system,Acute embolism and thrombosis of right iliac vein,1
principal,I8501,ICD-10,Diseases of the circulatory system,Esophageal varices with bleeding,1
principal,I952,ICD-10,Diseases of the circulatory system,Hypotension due to drugs,1
principal,I959,ICD-10,Diseases of the circulatory system,"Hypotension, unspecified",1
principal,I9789,ICD-10,Diseases of the circulatory system,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified",1
principal,41401,ICD-9,Diseases of the circulatory system,Coronary atherosclerosis of native coronary artery,28
principal,41071,ICD-9,Diseases of the circulatory system,"Subendocardial infarction, initial episode of care",20
principal,4241,ICD-9,Diseases of the circulatory system,Aortic valve disorders,19
principal,42833,ICD-9,Diseases of the circulatory system,Acute on chronic diastolic heart failure,11
principal,43411,ICD-9,Diseases of the circulatory system,Cerebral embolism with cerebral infarction,11
principal,41519,ICD-9,Diseases of the circulatory system,Other pulmonary embolism and infarction,9
principal,43491,ICD-9,Diseases of the circulatory system,"Cerebral artery occlusion, unspecified with cerebral infarction",8
principal,42731,ICD-9,Diseases of the circulatory system,Atrial fibrillation,7
principal,42823,ICD-9,Diseases of the circulatory system,Acute on chronic systolic heart failure,7
principal,43310,ICD-9,Diseases of the circulatory system,Occlusion and stenosis of carotid artery without mention of cerebral infarction,6
principal,42732,ICD-9,Diseases of the circulatory system,Atrial flutter,5
principal,430,ICD-9,Diseases of the circulatory system,Subarachnoid hemorrhage,5
principal,431,ICD-9,Diseases of the circulatory system,Intracerebral hemorrhage,5
principal,4240,ICD-9,Diseases of the circulatory system,Mitral valve disorders,4
principal,4260,ICD-9,Diseases of the circulatory system,"Atrioventricular block, complete",4
principal,42781,ICD-9,Diseases of the circulatory system,Sinoatrial node dysfunction,4
principal,44024,ICD-9,Diseases of the circulatory system,Atherosclerosis of native arteries of the extremities with gangrene,4
principal,3962,ICD-9,Diseases of the circulatory system,Mitral valve insufficiency and aortic valve stenosis,3
principal,4010,ICD-9,Diseases of the circulatory system,Malignant essential hypertension,3
principal,41041,ICD-9,Diseases of the circulatory system,"Acute myocardial infarction of other inferior wall, initial episode of care",3
principal,41513,ICD-9,Diseases of the circulatory system,Saddle embolus of pulmonary artery,3
principal,44021,ICD-9,Diseases of the circulatory system,Atherosclerosis of native arteries of the extremities with intermittent claudication,3
principal,44101,ICD-9,Diseases of the circulatory system,"Dissection of aorta, thoracic",3
principal,45341,ICD-9,Diseases of the circulatory system,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,3
principal,4254,ICD-9,Diseases of the circulatory system,Other primary cardiomyopathies,2
principal,42843,ICD-9,Diseases of the circulatory system,Acute on chronic combined systolic and diastolic heart failure,2
principal,4321,ICD-9,Diseases of the circulatory system,Subdural hemorrhage,2
principal,43311,ICD-9,Diseases of the circulatory system,Occlusion and stenosis of carotid artery with cerebral infarction,2
principal,4359,ICD-9,Diseases of the circulatory system,Unspecified transient cerebral ischemia,2
principal,44031,ICD-9,Diseases of the circulatory system,Atherosclerosis of autologous vein bypass graft of the extremities,2
principal,4414,ICD-9,Diseases of the circulatory system,Abdominal aneurysm without mention of rupture,2
principal,4417,ICD-9,Diseases of the circulatory system,"Thoracoabdominal aneurysm, without mention of rupture",2
principal,4465,ICD-9,Diseases of the circulatory system,Giant cell arteritis,2
principal,3940,ICD-9,Diseases of the circulatory system,Mitral stenosis,1
principal,4019,ICD-9,Diseases of the circulatory system,Unspecified essential hypertension,1
principal,41001,ICD-9,Diseases of the circulatory system,"Acute myocardial infarction of anterolateral wall, initial episode of care",1
principal,41011,ICD-9,Diseases of the circulatory system,"Acute myocardial infarction of other anterior wall, initial episode of care",1
principal,41072,ICD-9,Diseases of the circulatory system,"Subendocardial infarction, subsequent episode of care",1
principal,41091,ICD-9,Diseases of the circulatory system,"Acute myocardial infarction of unspecified site, initial episode of care",1
principal,41400,ICD-9,Diseases of the circulatory system,"Coronary atherosclerosis of unspecified type of vessel, native or graft",1
principal,41511,ICD-9,Diseases of the circulatory system,Iatrogenic pulmonary embolism and infarction,1
principal,4168,ICD-9,Diseases of the circulatory system,Other chronic pulmonary heart diseases,1
principal,42091,ICD-9,Diseases of the circulatory system,Acute idiopathic pericarditis,1
principal,4231,ICD-9,Diseases of the circulatory system,Adhesive pericarditis,1
principal,42511,ICD-9,Diseases of the circulatory system,Hypertrophic obstructive cardiomyopathy,1
principal,42652,ICD-9,Diseases of the circulatory system,Right bundle branch block and left anterior fascicular block,1
principal,4275,ICD-9,Diseases of the circulatory system,Cardiac arrest,1
principal,42789,ICD-9,Diseases of the circulatory system,Other specified cardiac dysrhythmias,1
principal,4280,ICD-9,Diseases of the circulatory system,"Congestive heart failure, unspecified",1
principal,42821,ICD-9,Diseases of the circulatory system,Acute systolic heart failure,1
principal,42831,ICD-9,Diseases of the circulatory system,Acute diastolic heart failure,1
principal,43321,ICD-9,Diseases of the circulatory system,Occlusion and stenosis of vertebral artery with cerebral infarction,1
principal,43401,ICD-9,Diseases of the circulatory system,Cerebral thrombosis with cerebral infarction,1
principal,4373,ICD-9,Diseases of the circulatory system,"Cerebral aneurysm, nonruptured",1
principal,4377,ICD-9,Diseases of the circulatory system,Transient global amnesia,1
principal,44023,ICD-9,Diseases of the circulatory system,Atherosclerosis of native arteries of the extremities with ulceration,1
principal,44102,ICD-9,Diseases of the circulatory system,"Dissection of aorta, abdominal",1
principal,4422,ICD-9,Diseases of the circulatory system,Aneurysm of iliac artery,1
principal,4423,ICD-9,Diseases of the circulatory system,Aneurysm of artery of lower extremity,1
principal,44321,ICD-9,Diseases of the circulatory system,Dissection of carotid artery,1
principal,4439,ICD-9,Diseases of the circulatory system,"Peripheral vascular disease, unspecified",1
principal,44422,ICD-9,Diseases of the circulatory system,Arterial embolism and thrombosis of lower extremity,1
principal,4460,ICD-9,Diseases of the circulatory system,Polyarteritis nodosa,1
principal,4478,ICD-9,Diseases of the circulatory system,Other specified disorders of arteries and arterioles,1
principal,4510,ICD-9,Diseases of the circulatory system,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,1
principal,45340,ICD-9,Diseases of the circulatory system,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,1
principal,45342,ICD-9,Diseases of the circulatory system,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,1
principal,4552,ICD-9,Diseases of the circulatory system,Internal hemorrhoids with other complication,1
principal,4568,ICD-9,Diseases of the circulatory system,Varices of other sites,1
principal,4580,ICD-9,Diseases of the circulatory system,Orthostatic hypotension,1
principal,4588,ICD-9,Diseases of the circulatory system,Other specified hypotension,1
principal,4589,ICD-9,Diseases of the circulatory system,"Hypotension, unspecified",1
principal,4592,ICD-9,Diseases of the circulatory system,Compression of vein,1
principal,5770,ICD-9,Diseases of the digestive system,Acute pancreatitis,15
principal,5609,ICD-9,Diseases of the digestive system,Unspecified intestinal obstruction,10
principal,56211,ICD-9,Diseases of the digestive system,Diverticulitis of colon (without mention of hemorrhage),9
principal,5409,ICD-9,Diseases of the digestive system,Acute appendicitis without mention of peritonitis,8
principal,55321,ICD-9,Diseases of the digestive system,Incisional hernia without mention of obstruction or gangrene,6
principal,56081,ICD-9,Diseases of the digestive system,Intestinal or peritoneal adhesions with obstruction (postoperative) (postinfection),5
principal,5761,ICD-9,Diseases of the digestive system,Cholangitis,5
principal,5789,ICD-9,Diseases of the digestive system,"Hemorrhage of gastrointestinal tract, unspecified",5
principal,57400,ICD-9,Diseases of the digestive system,"Calculus of gallbladder with acute cholecystitis, without mention of obstruction",4
principal,5589,ICD-9,Diseases of the digestive system,Other and unspecified noninfectious gastroenteritis and colitis,3
principal,56212,ICD-9,Diseases of the digestive system,Diverticulosis of colon with hemorrhage,3
principal,57410,ICD-9,Diseases of the digestive system,"Calculus of gallbladder with other cholecystitis, without mention of obstruction",3
principal,53010,ICD-9,Diseases of the digestive system,"Esophagitis, unspecified",2
principal,53081,ICD-9,Diseases of the digestive system,Esophageal reflux,2
principal,53240,ICD-9,Diseases of the digestive system,"Chronic or unspecified duodenal ulcer with hemorrhage, without mention of obstruction",2
principal,53551,ICD-9,Diseases of the digestive system,"Unspecified gastritis and gastroduodenitis, with hemorrhage",2
principal,5400,ICD-9,Diseases of the digestive system,Acute appendicitis with generalized peritonitis,2
principal,5401,ICD-9,Diseases of the digestive system,Acute appendicitis with peritoneal abscess,2
principal,5569,ICD-9,Diseases of the digestive system,"Ulcerative colitis, unspecified",2
principal,566,ICD-9,Diseases of the digestive system,Abscess of anal and rectal regions,2
principal,56969,ICD-9,Diseases of the digestive system,Other colostomy and enterostomy complication,2
principal,5711,ICD-9,Diseases of the digestive system,Acute alcoholic hepatitis,2
principal,5715,ICD-9,Diseases of the digestive system,Cirrhosis of liver without mention of alcohol,2
principal,57431,ICD-9,Diseases of the digestive system,"Calculus of bile duct with acute cholecystitis, with obstruction",2
principal,57451,ICD-9,Diseases of the digestive system,"Calculus of bile duct without mention of cholecystitis, with obstruction",2
principal,5750,ICD-9,Diseases of the digestive system,Acute cholecystitis,2
principal,5762,ICD-9,Diseases of the digestive system,Obstruction of bile duct,2
principal,5225,ICD-9,Diseases of the digestive system,Periapical abscess without sinus,1
principal,52801,ICD-9,Diseases of the digestive system,Mucositis (ulcerative) due to antineoplastic therapy,1
principal,5283,ICD-9,Diseases of the digestive system,Cellulitis and abscess of oral soft tissues,1
principal,5285,ICD-9,Diseases of the digestive system,Diseases of lips,1
principal,5303,ICD-9,Diseases of the digestive system,Stricture and stenosis of esophagus,1
principal,5304,ICD-9,Diseases of the digestive system,Perforation of esophagus,1
principal,53100,ICD-9,Diseases of the digestive system,"Acute gastric ulcer with hemorrhage, without mention of obstruction",1
principal,53110,ICD-9,Diseases of the digestive system,"Acute gastric ulcer with perforation, without mention of obstruction",1
principal,53140,ICD-9,Diseases of the digestive system,"Chronic or unspecified gastric ulcer with hemorrhage, without mention of obstruction",1
principal,53190,ICD-9,Diseases of the digestive system,"Gastric ulcer, unspecified as acute or chronic, without mention of hemorrhage or perforation, without mention of obstruction",1
principal,53200,ICD-9,Diseases of the digestive system,"Acute duodenal ulcer with hemorrhage, without mention of obstruction",1
principal,53340,ICD-9,Diseases of the digestive system,"Chronic or unspecified peptic ulcer of unspecified site with hemorrhage, without mention of obstruction",1
principal,53541,ICD-9,Diseases of the digestive system,"Other specified gastritis, with hemorrhage",1
principal,53550,ICD-9,Diseases of the digestive system,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",1
principal,53560,ICD-9,Diseases of the digestive system,"Duodenitis, without mention of hemorrhage",1
principal,53784,ICD-9,Diseases of the digestive system,Dieulafoy lesion (hemorrhagic) of stomach and duodenum,1
principal,542,ICD-9,Diseases of the digestive system,Other appendicitis,1
principal,55010,ICD-9,Diseases of the digestive system,"Inguinal hernia, with obstruction, without mention of gangrene, unilateral or unspecified (not specified as recurrent)",1
principal,55090,ICD-9,Diseases of the digestive system,"Inguinal hernia, without mention of obstruction or gangrene, unilateral or unspecified (not specified as recurrent)",1
principal,55220,ICD-9,Diseases of the digestive system,"Ventral, unspecified, hernia with obstruction",1
principal,55221,ICD-9,Diseases of the digestive system,Incisional ventral hernia with obstruction,1
principal,5523,ICD-9,Diseases of the digestive system,Diaphragmatic hernia with obstruction,1
principal,5550,ICD-9,Diseases of the digestive system,Regional enteritis of small intestine,1
principal,5563,ICD-9,Diseases of the digestive system,Ulcerative (chronic) proctosigmoiditis,1
principal,5570,ICD-9,Diseases of the digestive system,Acute vascular insufficiency of intestine,1
principal,5601,ICD-9,Diseases of the digestive system,Paralytic ileus,1
principal,56200,ICD-9,Diseases of the digestive system,Diverticulosis of small intestine (without mention of hemorrhage),1
principal,5641,ICD-9,Diseases of the digestive system,Irritable bowel syndrome,1
principal,56722,ICD-9,Diseases of the digestive system,Peritoneal abscess,1
principal,56782,ICD-9,Diseases of the digestive system,Sclerosing mesenteritis,1
principal,5692,ICD-9,Diseases of the digestive system,Stenosis of rectum and anus,1
principal,56962,ICD-9,Diseases of the digestive system,Mechanical complication of colostomy and enterostomy,1
principal,5712,ICD-9,Diseases of the digestive system,Alcoholic cirrhosis of liver,1
principal,57142,ICD-9,Diseases of the digestive system,Autoimmune hepatitis,1
principal,57149,ICD-9,Diseases of the digestive system,Other chronic hepatitis,1
principal,5720,ICD-9,Diseases of the digestive system,Abscess of liver,1
principal,5722,ICD-9,Diseases of the digestive system,Hepatic encephalopathy,1
principal,5723,ICD-9,Diseases of the digestive system,Portal hypertension,1
principal,5733,ICD-9,Diseases of the digestive system,"Hepatitis, unspecified",1
principal,57401,ICD-9,Diseases of the digestive system,"Calculus of gallbladder with acute cholecystitis, with obstruction",1
principal,57490,ICD-9,Diseases of the digestive system,"Calculus of gallbladder and bile duct without cholecystitis, without mention of obstruction",1
principal,57511,ICD-9,Diseases of the digestive system,Chronic cholecystitis,1
principal,5771,ICD-9,Diseases of the digestive system,Chronic pancreatitis,1
principal,5778,ICD-9,Diseases of the digestive system,Other specified diseases of pancreas,1
principal,5779,ICD-9,Diseases of the digestive system,Unspecified disease of pancreas,1
principal,5781,ICD-9,Diseases of the digestive system,Blood in stool,1
principal,K430,ICD-10,Diseases of the digestive system,"Incisional hernia with obstruction, without gangrene",3
principal,K432,ICD-10,Diseases of the digestive system,Incisional hernia without obstruction or gangrene,3
principal,K56600,ICD-10,Diseases of the digestive system,"Partial intestinal obstruction, unspecified as to cause",3
principal,K7031,ICD-10,Diseases of the digestive system,Alcoholic cirrhosis of liver with ascites,3
principal,K7200,ICD-10,Diseases of the digestive system,Acute and subacute hepatic failure without coma,3
principal,K8000,ICD-10,Diseases of the digestive system,Calculus of gallbladder with acute cholecystitis without obstruction,3
principal,K8050,ICD-10,Diseases of the digestive system,Calculus of bile duct without cholangitis or cholecystitis without obstruction,3
principal,K9189,ICD-10,Diseases of the digestive system,Other postprocedural complications and disorders of digestive system,3
principal,K922,ICD-10,Diseases of the digestive system,"Gastrointestinal hemorrhage, unspecified",3
principal,K264,ICD-10,Diseases of the digestive system,Chronic or unspecified duodenal ulcer with hemorrhage,2
principal,K2971,ICD-10,Diseases of the digestive system,"Gastritis, unspecified, with bleeding",2
principal,K449,ICD-10,Diseases of the digestive system,Diaphragmatic hernia without obstruction or gangrene,2
principal,K529,ICD-10,Diseases of the digestive system,"Noninfective gastroenteritis and colitis, unspecified",2
principal,K5732,ICD-10,Diseases of the digestive system,Diverticulitis of large intestine without perforation or abscess without bleeding,2
principal,K7011,ICD-10,Diseases of the digestive system,Alcoholic hepatitis with ascites,2
principal,K7290,ICD-10,Diseases of the digestive system,"Hepatic failure, unspecified without coma",2
principal,K7469,ICD-10,Diseases of the digestive system,Other cirrhosis of liver,2
principal,K7689,ICD-10,Diseases of the digestive system,Other specified diseases of liver,2
principal,K831,ICD-10,Diseases of the digestive system,Obstruction of bile duct,2
principal,K8510,ICD-10,Diseases of the digestive system,Biliary acute pancreatitis without necrosis or infection,2
principal,K852,ICD-10,Diseases of the digestive system,Alcohol induced acute pancreatitis,2
principal,K9171,ICD-10,Diseases of the digestive system,Accidental puncture and laceration of a digestive system organ or structure during a digestive system procedure,2
principal,K91840,ICD-10,Diseases of the digestive system,Postprocedural hemorrhage of a digestive system organ or structure following a digestive system procedure,2
principal,K1121,ICD-10,Diseases of the digestive system,Acute sialoadenitis,1
principal,K210,ICD-10,Diseases of the digestive system,Gastro-esophageal reflux disease with esophagitis,1
principal,K219,ICD-10,Diseases of the digestive system,Gastro-esophageal reflux disease without esophagitis,1
principal,K220,ICD-10,Diseases of the digestive system,Achalasia of cardia,1
principal,K2210,ICD-10,Diseases of the digestive system,Ulcer of esophagus without bleeding,1
principal,K226,ICD-10,Diseases of the digestive system,Gastro-esophageal laceration-hemorrhage syndrome,1
principal,K250,ICD-10,Diseases of the digestive system,Acute gastric ulcer with hemorrhage,1
principal,K269,ICD-10,Diseases of the digestive system,"Duodenal ulcer, unspecified as acute or chronic, without hemorrhage or perforation",1
principal,K285,ICD-10,Diseases of the digestive system,Chronic or unspecified gastrojejunal ulcer with perforation,1
principal,K2921,ICD-10,Diseases of the digestive system,Alcoholic gastritis with bleeding,1
principal,K311,ICD-10,Diseases of the digestive system,Adult hypertrophic pyloric stenosis,1
principal,K3580,ICD-10,Diseases of the digestive system,Unspecified acute appendicitis,1
principal,K420,ICD-10,Diseases of the digestive system,"Umbilical hernia with obstruction, without gangrene",1
principal,K433,ICD-10,Diseases of the digestive system,"Parastomal hernia with obstruction, without gangrene",1
principal,K436,ICD-10,Diseases of the digestive system,"Other and unspecified ventral hernia with obstruction, without gangrene",1
principal,K50012,ICD-10,Diseases of the digestive system,Crohn's disease of small intestine with intestinal obstruction,1
principal,K50014,ICD-10,Diseases of the digestive system,Crohn's disease of small intestine with abscess,1
principal,K50913,ICD-10,Diseases of the digestive system,"Crohn's disease, unspecified, with fistula",1
principal,K51011,ICD-10,Diseases of the digestive system,Ulcerative (chronic) pancolitis with rectal bleeding,1
principal,K5180,ICD-10,Diseases of the digestive system,Other ulcerative colitis without complications,1
principal,K51911,ICD-10,Diseases of the digestive system,"Ulcerative colitis, unspecified with rectal bleeding",1
principal,K5289,ICD-10,Diseases of the digestive system,Other specified noninfective gastroenteritis and colitis,1
principal,K5641,ICD-10,Diseases of the digestive system,Fecal impaction,1
principal,K5650,ICD-10,Diseases of the digestive system,"Intestinal adhesions [bands], unspecified as to partial versus complete obstruction",1
principal,K567,ICD-10,Diseases of the digestive system,"Ileus, unspecified",1
principal,K5720,ICD-10,Diseases of the digestive system,Diverticulitis of large intestine with perforation and abscess without bleeding,1
principal,K5731,ICD-10,Diseases of the digestive system,Diverticulosis of large intestine without perforation or abscess with bleeding,1
principal,K5733,ICD-10,Diseases of the digestive system,Diverticulitis of large intestine without perforation or abscess with bleeding,1
principal,K5780,ICD-10,Diseases of the digestive system,"Diverticulitis of intestine, part unspecified, with perforation and abscess without bleeding",1
principal,K5900,ICD-10,Diseases of the digestive system,"Constipation, unspecified",1
principal,K644,ICD-10,Diseases of the digestive system,Residual hemorrhoidal skin tags,1
principal,K648,ICD-10,Diseases of the digestive system,Other hemorrhoids,1
principal,K649,ICD-10,Diseases of the digestive system,Unspecified hemorrhoids,1
principal,K7010,ICD-10,Diseases of the digestive system,Alcoholic hepatitis without ascites,1
principal,K7040,ICD-10,Diseases of the digestive system,Alcoholic hepatic failure without coma,1
principal,K7041,ICD-10,Diseases of the digestive system,Alcoholic hepatic failure with coma,1
principal,K743,ICD-10,Diseases of the digestive system,Primary biliary cirrhosis,1
principal,K8012,ICD-10,Diseases of the digestive system,Calculus of gallbladder with acute and chronic cholecystitis without obstruction,1
