icd_code,icd_version,long_title
V8672XS,10,"Person on outside of snowmobile injured in nontraffic accident, sequela"
W14XXXS,10,"Fall from tree, sequela"
S06817A,10,"Injury of right internal carotid artery, intracranial portion, not elsewhere classified with loss of consciousness of any duration with death due to brain injury prior to regaining consciousness, initial encounter"
S62123A,10,"Displaced fracture of lunate [semilunar], unspecified wrist, initial encounter for closed fracture"
W5541XA,10,"Bitten by pig, initial encounter"
52412,9,"Anomalies of relationship of jaw to cranial base, other jaw asymmetry"
S42465K,10,"Nondisplaced fracture of medial condyle of left humerus, subsequent encounter for fracture with nonunion"
T83428,10,"Displacement of other prosthetic devices, implants and grafts of genital tract"
S32501A,10,"Unspecified fracture of right pubis, initial encounter for closed fracture"
V9035XA,10,"Drowning and submersion due to falling or jumping from crushed canoe or kayak, initial encounter"
S90414,10,"Abrasion, right lesser toe(s)"
S42151K,10,"Displaced fracture of neck of scapula, right shoulder, subsequent encounter for fracture with nonunion"
88019,9,"Open wound of multiple sites of shoulder and upper arm, complicated"
S1014XS,10,"External constriction of part of throat, sequela"
0068,9,Amebic infection of other sites
T50B93D,10,"Poisoning by other viral vaccines, assault, subsequent encounter"
S75111S,10,"Minor laceration of femoral vein at hip and thigh level, right leg, sequela"
H26121,10,"Partially resolved traumatic cataract, right eye"
S45902S,10,"Unspecified injury of unspecified blood vessel at shoulder and upper arm level, left arm, sequela"
I801,10,Phlebitis and thrombophlebitis of femoral vein
09151,9,Syphilitic chorioretinitis (secondary)
64942,9,"Epilepsy complicating pregnancy, childbirth, or the puerperium, delivered, with mention of postpartum complication"
H1853,10,Granular corneal dystrophy
T384X3D,10,"Poisoning by oral contraceptives, assault, subsequent encounter"
T8243,10,Leakage of vascular dialysis catheter
80013,9,"Closed fracture of vault of skull with cerebral laceration and contusion, with moderate [1-24 hours] loss of consciousness"
Z52813,10,"Egg (Oocyte) donor age 35 and over, designated recipient"
T871X2,10,Complications of reattached (part of) left lower extremity
H7013,10,"Chronic mastoiditis, bilateral"
V183XXA,10,"Person boarding or alighting a pedal cycle injured in noncollision transport accident, initial encounter"
S82242P,10,"Displaced spiral fracture of shaft of left tibia, subsequent encounter for closed fracture with malunion"
8702,9,Laceration of eyelid involving lacrimal passages
H6523,10,"Chronic serous otitis media, bilateral"
S098XXS,10,"Other specified injuries of head, sequela"
S8290XN,10,"Unspecified fracture of unspecified lower leg, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
M89252,10,"Other disorders of bone development and growth, left femur"
70715,9,Ulcer of other part of foot
S72032A,10,"Displaced midcervical fracture of left femur, initial encounter for closed fracture"
S89322,10,Salter-Harris Type II physeal fracture of lower end of left fibula
R835,10,Abnormal microbiological findings in cerebrospinal fluid
O45013,10,"Premature separation of placenta with afibrinogenemia, third trimester"
M13832,10,"Other specified arthritis, left wrist"
S82099P,10,"Other fracture of unspecified patella, subsequent encounter for closed fracture with malunion"
M055,10,Rheumatoid polyneuropathy with rheumatoid arthritis
V9131,10,Hit or struck by falling object due to accident to passenger ship
K763,10,Infarction of liver
E441,10,Mild protein-calorie malnutrition
S72121Q,10,"Displaced fracture of lesser trochanter of right femur, subsequent encounter for open fracture type I or II with malunion"
S34112S,10,"Complete lesion of L2 level of lumbar spinal cord, sequela"
62401,9,Vulvar intraepithelial neoplasia I [VIN I]
O080,10,Genital tract and pelvic infection following ectopic and molar pregnancy
Q680,10,Congenital deformity of sternocleidomastoid muscle
S52236J,10,"Nondisplaced oblique fracture of shaft of unspecified ulna, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
S30854D,10,"Superficial foreign body of vagina and vulva, subsequent encounter"
S43122D,10,"Dislocation of left acromioclavicular joint, 100%-200% displacement, subsequent encounter"
3822,9,Chronic atticoantral suppurative otitis media
V732,9,Screening examination for measles
Y927,10,Farm as the place of occurrence of the external cause
T620X4,10,"Toxic effect of ingested mushrooms, undetermined"
M05162,10,Rheumatoid lung disease with rheumatoid arthritis of left knee
